pixel_id,rbd_vh,burned,burned_area_hectares,rain_masked,cluster_mean_rbd_vh_burned,cluster_mean_rbd_vh_unburned
PX-219,4.707021903174152,True,1.0,False,5.6207525532984075,1.901463682474826
PX-220,4.4115600374041115,False,0.0,False,5.6207525532984075,1.901463682474826
PX-221,4.234902702081289,False,0.0,False,5.6207525532984075,1.901463682474826
PX-222,2.5533354057356004,False,0.0,False,5.6207525532984075,1.901463682474826
PX-223,2.8939137413154086,False,0.0,False,5.6207525532984075,1.901463682474826
PX-224,2.821725491952934,False,0.0,False,5.6207525532984075,1.901463682474826
PX-225,2.105577897978719,False,0.0,False,5.6207525532984075,1.901463682474826
PX-226,1.122729855184808,False,0.0,False,5.6207525532984075,1.901463682474826
PX-227,0.5883927325305667,False,0.0,False,5.6207525532984075,1.901463682474826
PX-228,0.36578618844699307,False,0.0,False,5.6207525532984075,1.901463682474826
PX-229,0.41668987594684737,False,0.0,False,5.6207525532984075,1.901463682474826
PX-230,0.6858433478604802,False,0.0,False,5.6207525532984075,1.901463682474826
PX-231,0.6617797031939645,False,0.0,False,5.6207525532984075,1.901463682474826
PX-232,0.5788589687933658,False,0.0,False,5.6207525532984075,1.901463682474826
PX-233,0.6168859638406587,False,0.0,False,5.6207525532984075,1.901463682474826
PX-234,0.7575806640394873,False,0.0,False,5.6207525532984075,1.901463682474826
